rank,name,symbol,price
1,Bitcoin,BTC,79830
2,Ethereum,ETH,2282.49
3,Tether,USDT,0.999827
4,BNB,BNB,637.92
5,XRP,XRP,1.39
6,USDC,USDC,0.999954
7,Solana,SOL,88.39
8,TRON,TRX,0.348605
9,Figure Heloc,FIGR_HELOC,1.003
10,Dogecoin,DOGE,0.10698
11,WhiteBIT Coin,WBT,58.83
12,USDS,USDS,0.999801
13,Hyperliquid,HYPE,42.53
14,Cardano,ADA,0.263289
15,LEO Token,LEO,10.37
16,Zcash,ZEC,561.78
17,Bitcoin Cash,BCH,449.51
18,Monero,XMR,399.65
19,Chainlink,LINK,9.89
20,Toncoin,TON,2.57
21,Canton,CC,0.145422
22,Stellar,XLM,0.1585
23,MemeCore,M,3.7
24,USD1,USD1,0.999796
25,Dai,DAI,0.99975
26,Litecoin,LTC,56.47
27,Avalanche,AVAX,9.56
28,Ethena USDe,USDE,0.999641
29,Hedera,HBAR,0.090547
30,Sui,SUI,0.975525
31,Shiba Inu,SHIB,6.31e-06
32,Rain,RAIN,0.00751932
33,PayPal USD,PYUSD,0.999858
34,Cronos,CRO,0.069588
35,Circle USYC,USYC,1.12
36,Bittensor,TAO,309.98
37,Tether Gold,XAUT,4706.76
38,Global Dollar,USDG,0.999857
39,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
40,World Liberty Financial,WLFI,0.073584
41,PAX Gold,PAXG,4710.11
42,Polkadot,DOT,1.32
43,Uniswap,UNI,3.47
44,Mantle,MNT,0.66477
45,NEAR Protocol,NEAR,1.56
46,Ondo,ONDO,0.394411
47,Sky,SKY,0.080463
48,OKB,OKB,85.35
49,HTX DAO,HTX,1.97e-06
50,Falcon USD,USDF,0.9978
51,Pi Network,PI,0.169585
52,Pepe,PEPE,4.18e-06
53,Internet Computer,ICP,3.11
54,Aster,ASTER,0.660331
55,Ripple USD,RLUSD,0.999842
56,Ethereum Classic,ETC,9.49
57,Bitget Token,BGB,2.09
58,USDD,USDD,0.999503
59,Aave,AAVE,92.43
60,Ondo US Dollar Yield,USDY,1.13
61,BFUSD,BFUSD,0.9992
62,Janus Henderson Anemoy Treasury Fund,JTRSY,1.1
63,Morpho,MORPHO,2.06
64,Algorand,ALGO,0.128448
65,KuCoin,KCS,8.26
66,Ethena,ENA,0.12152
67,POL (ex-MATIC),POL,0.101415
68,Quant,QNT,73.28
69,Render,RENDER,1.99
70,United Stables,U,0.999706
71,Spiko EU T-Bills Money Market Fund,EUTBL,1.24
72,Kaspa,KAS,0.0360282
73,Blockchain Capital,BCAP,105.77
74,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.07
75,Cosmos Hub,ATOM,1.87
76,NEXO,NEXO,0.889419
77,Worldcoin,WLD,0.258044
78,Filecoin,FIL,1.097
79,Aptos,APT,1.047
80,Gate,GT,7.25
81,Arbitrum,ARB,0.131814
82,Siren,SIREN,1.04
83,​​Stable,STABLE,0.03276137
84,Pump.fun,PUMP,0.00203476
85,JUST,JST,0.084018
86,Jupiter,JUP,0.208901
87,Flare,FLR,0.00784105
88,VeChain,VET,0.00760788
89,Pudgy Penguins,PENGU,0.01035239
90,Dash,DASH,49.41
91,USDtb,USDTB,0.999604
92,Venice Token,VVV,13.64
93,Beldex,BDX,0.079948
94,OUSG,OUSG,115.17
95,Bonk,BONK,6.91e-06
96,Virtuals Protocol,VIRTUAL,0.925524
97,SkyAI,SKYAI,0.594664
98,XDC Network,XDC,0.02940676
99,GHO,GHO,0.999731
100,Official Trump,TRUMP,2.4
